
2018-12-11 21:26:00: Verisign (64.6.65.6) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-11 21:26:25: Quad (9.9.9.9) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:19:23: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 1, Offline for 0m)
---
2018-12-17 14:20:31: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:20:46: puntCAT (109.69.8.51) says you are OFFLINE (failure 2, Offline for 0m)
2018-12-17 14:21:01: Neustar (156.154.71.1) says you are OFFLINE (failure 3, Offline for 0m)
2018-12-17 14:21:16: CleanBrowsing (185.228.169.9) says you are OFFLINE (failure 4, Offline for 0m)
2018-12-17 14:21:31: CenturyLink (Level 3) (209.244.0.3) says you are OFFLINE (failure 5, Offline for 0m)
2018-12-17 14:21:46: Verisign (64.6.65.6) says you are OFFLINE (failure 6, Offline for 1m)
2018-12-17 14:22:01: Google (8.8.4.4) says you are OFFLINE (failure 7, Offline for 1m)
2018-12-17 14:22:16: Quad (9.9.9.9) says you are OFFLINE (failure 8, Offline for 1m)
2018-12-17 14:22:31: DNS Watch (84.200.69.80) says you are OFFLINE (failure 9, Offline for 1m)
2018-12-17 14:22:46: Comodo Secure DNS (8.20.247.20) says you are OFFLINE (failure 10, Offline for 1m)
2018-12-17 14:23:01: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 11, Offline for 1m)
2018-12-17 14:23:16: Cloudflare (1.0.0.1) says you are OFFLINE (failure 12, Offline for 2m)
2018-12-17 14:23:31: FreeDNS (45.33.97.5) says you are OFFLINE (failure 13, Offline for 2m)
2018-12-17 14:23:46: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 14, Offline for 2m)
2018-12-17 14:24:01: Dyn (216.146.35.35) says you are OFFLINE (failure 15, Offline for 2m)
2018-12-17 14:24:16: SafeDNS (195.46.39.40) says you are OFFLINE (failure 16, Offline for 2m)
2018-12-17 14:24:31: OpenNIC (198.206.14.241) says you are OFFLINE (failure 17, Offline for 2m)
2018-12-17 14:24:46: Yandex DNS (77.88.8.1) says you are OFFLINE (failure 18, Offline for 3m)
2018-12-17 14:25:01: UncensoredDNS (89.233.43.71) says you are OFFLINE (failure 19, Offline for 3m)
2018-12-17 14:25:16: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 20, Offline for 3m)
2018-12-17 14:25:31: puntCAT (109.69.8.51) says you are OFFLINE (failure 21, Offline for 3m)
2018-12-17 14:25:46: Neustar (156.154.70.1) says you are OFFLINE (failure 22, Offline for 3m)
2018-12-17 14:26:01: CleanBrowsing (185.228.168.9) says you are OFFLINE (failure 23, Offline for 3m)
2018-12-17 14:26:16: CenturyLink (Level 3) (209.244.0.3) says you are OFFLINE (failure 24, Offline for 4m)
2018-12-17 14:26:31: Verisign (64.6.64.6) says you are OFFLINE (failure 25, Offline for 4m)
2018-12-17 14:26:46: Google (8.8.4.4) says you are OFFLINE (failure 26, Offline for 4m)
2018-12-17 14:27:01: Quad (9.9.9.9) says you are OFFLINE (failure 27, Offline for 4m)
2018-12-17 14:27:16: DNS Watch (84.200.69.80) says you are OFFLINE (failure 28, Offline for 4m)
2018-12-17 14:27:31: Comodo Secure DNS (8.20.247.20) says you are OFFLINE (failure 29, Offline for 4m)
2018-12-17 14:27:46: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 30, Offline for 5m)
2018-12-17 14:28:01: Cloudflare (1.0.0.1) says you are OFFLINE (failure 31, Offline for 5m)
2018-12-17 14:28:16: FreeDNS (37.235.1.177) says you are OFFLINE (failure 32, Offline for 5m)
2018-12-17 14:28:31: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 33, Offline for 5m)
2018-12-17 14:28:46: Dyn (216.146.35.35) says you are OFFLINE (failure 34, Offline for 5m)
---
2018-12-17 14:29:43: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:30:21: CleanBrowsing (185.228.169.9) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:30:36: CenturyLink (Level 3) (209.244.0.4) says you are OFFLINE (failure 2, Offline for 0m)
2018-12-17 14:30:51: Verisign (64.6.64.6) says you are OFFLINE (failure 3, Offline for 0m)
---
2018-12-17 14:31:26: DNS Watch (84.200.70.40) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:31:41: Comodo Secure DNS (8.26.56.26) says you are OFFLINE (failure 2, Offline for 0m)
2018-12-17 14:31:56: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 3, Offline for 0m)
2018-12-17 14:32:11: Cloudflare (1.0.0.1) says you are OFFLINE (failure 4, Offline for 0m)
2018-12-17 14:32:26: FreeDNS (37.235.1.177) says you are OFFLINE (failure 5, Offline for 0m)
2018-12-17 14:32:41: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 6, Offline for 1m)
2018-12-17 14:32:56: Dyn (216.146.35.35) says you are OFFLINE (failure 7, Offline for 1m)
2018-12-17 14:33:11: SafeDNS (195.46.39.39) says you are OFFLINE (failure 8, Offline for 1m)
2018-12-17 14:33:26: OpenNIC (172.98.193.42) says you are OFFLINE (failure 9, Offline for 1m)
2018-12-17 14:33:41: Yandex DNS (77.88.8.1) says you are OFFLINE (failure 10, Offline for 1m)
2018-12-17 14:33:56: UncensoredDNS (91.239.100.100) says you are OFFLINE (failure 11, Offline for 1m)
2018-12-17 14:34:11: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 12, Offline for 2m)
2018-12-17 14:34:26: puntCAT (109.69.8.51) says you are OFFLINE (failure 13, Offline for 2m)
2018-12-17 14:34:41: Neustar (156.154.70.1) says you are OFFLINE (failure 14, Offline for 2m)
2018-12-17 14:34:56: CleanBrowsing (185.228.169.9) says you are OFFLINE (failure 15, Offline for 2m)
2018-12-17 14:35:11: CenturyLink (Level 3) (209.244.0.4) says you are OFFLINE (failure 16, Offline for 2m)
2018-12-17 14:35:26: Verisign (64.6.64.6) says you are OFFLINE (failure 17, Offline for 2m)
2018-12-17 14:35:41: Google (8.8.8.8) says you are OFFLINE (failure 18, Offline for 3m)
2018-12-17 14:35:56: Quad (9.9.9.9) says you are OFFLINE (failure 19, Offline for 3m)
2018-12-17 14:36:11: DNS Watch (84.200.70.40) says you are OFFLINE (failure 20, Offline for 3m)
2018-12-17 14:36:26: Comodo Secure DNS (8.26.56.26) says you are OFFLINE (failure 21, Offline for 3m)
2018-12-17 14:36:41: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 22, Offline for 3m)
2018-12-17 14:36:56: Cloudflare (1.0.0.1) says you are OFFLINE (failure 23, Offline for 3m)
2018-12-17 14:37:11: FreeDNS (37.235.1.177) says you are OFFLINE (failure 24, Offline for 4m)
2018-12-17 14:37:26: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 25, Offline for 4m)
2018-12-17 14:37:41: Dyn (216.146.35.35) says you are OFFLINE (failure 26, Offline for 4m)
2018-12-17 14:37:56: SafeDNS (195.46.39.39) says you are OFFLINE (failure 27, Offline for 4m)
2018-12-17 14:38:11: OpenNIC (172.98.193.42) says you are OFFLINE (failure 28, Offline for 4m)
2018-12-17 14:38:26: Yandex DNS (77.88.8.8) says you are OFFLINE (failure 29, Offline for 4m)
2018-12-17 14:38:41: UncensoredDNS (91.239.100.100) says you are OFFLINE (failure 30, Offline for 5m)
